Josh Allen (BUF),"""QB""",10,235.7,23.57
Jalen Hurts (PHI),"""QB""",9,213.6,23.73333333
Sam Howell (WAS),"""QB""",10,191.8,19.18
Justin Herbert (LAC),"""QB""",9,189.8,21.08888889
Lamar Jackson (BAL),"""QB""",10,188.2,18.82
Dak Prescott (DAL),"""QB""",9,184.2,20.46666667
Joshua Dobbs (MIN),"""QB""",10,179.5,17.95
Patrick Mahomes II (KC),"""QB""",9,179.4,19.93333333
C.J. Stroud (HOU),"""QB""",9,178.2,19.8
Tua Tagovailoa (MIA),"""QB""",9,172.7,19.18888889
Brock Purdy (SF),"""QB""",9,166.8,18.53333333
Jared Goff (DET),"""QB""",9,164.3,18.25555556
Jordan Love (GB),"""QB""",9,160.6,17.84444444
Russell Wilson (DEN),"""QB""",9,157.3,17.47777778
Kirk Cousins (MIN),"""QB""",8,154.9,19.3625
Baker Mayfield (TB),"""QB""",9,154,17.11111111
Joe Burrow (CIN),"""QB""",9,144.5,16.05555556
Trevor Lawrence (JAC),"""QB""",9,129.1,14.34444444
Geno Smith (SEA),"""QB""",9,128.8,14.31111111
Derek Carr (NO),"""QB""",10,126.4,12.64
Matthew Stafford (LAR),"""QB""",8,118.7,14.8375
Mac Jones (NE),"""QB""",10,116.7,11.67
Desmond Ridder (ATL),"""QB""",9,116.5,12.94444444
Justin Fields (CHI),"""QB""",6,111.7,18.61666667
Gardner Minshew II (IND),"""QB""",9,103.3,11.47777778
Zach Wilson (NYJ),"""QB""",9,100.9,11.21111111
Bryce Young (CAR),"""QB""",8,98.9,12.3625
Kenny Pickett (PIT),"""QB""",9,94.4,10.48888889
Deshaun Watson (CLE),"""QB""",6,90.9,15.15
Jimmy Garoppolo (LV),"""QB""",6,73.1,12.18333333
Tyson Bagent (CHI),"""QB""",5,59.3,11.86
Will Levis (TEN),"""QB""",3,43.3,14.43333333
Taylor Heinicke (ATL),"""QB""",3,37.7,12.56666667
Aidan O'Connell (LV),"""QB""",4,34.6,8.65
P.J. Walker (CLE),"""QB""",5,24.8,4.96
Kyler Murray (ARI),"""QB""",1,18.3,18.3
Christian McCaffrey (SF),"""RB""",9,201.6,22.4
Raheem Mostert (MIA),"""RB""",9,161.1,17.9
Travis Etienne Jr. (JAC),"""RB""",9,155.8,17.31111111
Brian Robinson Jr. (WAS),"""RB""",10,132.1,13.21
Josh Jacobs (LV),"""RB""",10,130.5,13.05
Kenneth Walker III (SEA),"""RB""",9,127,14.11111111
Zack Moss (IND),"""RB""",9,120,13.33333333
Alvin Kamara (NO),"""RB""",7,118.3,16.9
Bijan Robinson (ATL),"""RB""",10,116.5,11.65
Derrick Henry (TEN),"""RB""",9,116.2,12.91111111
Rachaad White (TB),"""RB""",9,115,12.77777778
D'Andre Swift (PHI),"""RB""",9,115,12.77777778
Gus Edwards (BAL),"""RB""",10,114.8,11.48
Breece Hall (NYJ),"""RB""",9,107.7,11.96666667
Jahmyr Gibbs (DET),"""RB""",7,107.1,15.3
Joe Mixon (CIN),"""RB""",9,106.3,11.81111111
James Cook (BUF),"""RB""",10,105.7,10.57
Rhamondre Stevenson (NE),"""RB""",10,105.1,10.51
Kyren Williams (LAR),"""RB""",6,104.6,17.43333333
Isiah Pacheco (KC),"""RB""",9,104.5,11.61111111
Jerome Ford (CLE),"""RB""",9,101.8,11.31111111
David Montgomery (DET),"""RB""",6,99.7,16.61666667
Tony Pollard (DAL),"""RB""",9,98.4,10.93333333
De'Von Achane (MIA),"""RB""",4,97.2,24.3
Austin Ekeler (LAC),"""RB""",6,97,16.16666667
Saquon Barkley (NYG),"""RB""",7,94.8,13.54285714
Alexander Mattison (MIN),"""RB""",10,90.5,9.05
Jaylen Warren (PIT),"""RB""",9,85.7,9.522222222
Najee Harris (PIT),"""RB""",9,84.9,9.433333333
Javonte Williams (DEN),"""RB""",8,79,9.875
Tyler Allgeier (ATL),"""RB""",10,74.5,7.45
Jonathan Taylor (IND),"""RB""",6,72,12
D'Onta Foreman (CHI),"""RB""",6,70.7,11.78333333
Kareem Hunt (CLE),"""RB""",7,67.6,9.657142857
Aaron Jones (GB),"""RB""",6,64.7,10.78333333
Antonio Gibson (WAS),"""RB""",10,63.6,6.36
Ezekiel Elliott (NE),"""RB""",10,62.9,6.29
James Conner (ARI),"""RB""",6,62.7,10.45
Chuba Hubbard (CAR),"""RB""",9,62.6,6.955555556
AJ Dillon (GB),"""RB""",9,61,6.777777778
Jaleel McLaughlin (DEN),"""RB""",9,59.5,6.611111111
Tyjae Spears (TEN),"""RB""",9,59,6.555555556
Devin Singletary (HOU),"""RB""",9,56.4,6.266666667
Justice Hill (BAL),"""RB""",9,56,6.222222222
Latavius Murray (BUF),"""RB""",10,54,5.4
Dameon Pierce (HOU),"""RB""",7,51.6,7.371428571
Joshua Kelley (LAC),"""RB""",9,48.5,5.388888889
Khalil Herbert (CHI),"""RB""",5,46.5,9.3
Samaje Perine (DEN),"""RB""",9,46.2,5.133333333
Miles Sanders (CAR),"""RB""",8,46.2,5.775
Kenneth Gainwell (PHI),"""RB""",8,44.4,5.55
Jerick McKinnon (KC),"""RB""",9,43.5,4.833333333
Rico Dowdle (DAL),"""RB""",9,42.4,4.711111111
Keaton Mitchell (BAL),"""RB""",3,34.4,11.46666667
Darrell Henderson Jr. (LAR),"""RB""",3,27.6,9.2
Tyreek Hill (MIA),"""WR""",9,189.8,21.08888889
A.J. Brown (PHI),"""WR""",9,170,18.88888889
Keenan Allen (LAC),"""WR""",9,168.6,18.73333333
Stefon Diggs (BUF),"""WR""",10,165.3,16.53
CeeDee Lamb (DAL),"""WR""",9,164.2,18.24444444
Ja'Marr Chase (CIN),"""WR""",9,146,16.22222222
Amon-Ra St. Brown (DET),"""WR""",8,137.9,17.2375
DJ Moore (CHI),"""WR""",10,133.4,13.34
Mike Evans (TB),"""WR""",9,131.2,14.57777778
Puka Nacua (LAR),"""WR""",9,127.1,14.12222222
Adam Thielen (CAR),"""WR""",9,125.8,13.97777778
Jordan Addison (MIN),"""WR""",10,125,12.5
Michael Pittman Jr. (IND),"""WR""",10,120.7,12.07
Davante Adams (LV),"""WR""",10,112.4,11.24
Chris Olave (NO),"""WR""",10,111.7,11.17
Nico Collins (HOU),"""WR""",8,105.1,13.1375
Jakobi Meyers (LV),"""WR""",9,105,11.66666667
Brandon Aiyuk (SF),"""WR""",8,104.5,13.0625
Amari Cooper (CLE),"""WR""",9,104,11.55555556
Garrett Wilson (NYJ),"""WR""",9,102.3,11.36666667
Tank Dell (HOU),"""WR""",8,101.9,12.7375
Christian Kirk (JAC),"""WR""",9,101.5,11.27777778
Courtland Sutton (DEN),"""WR""",9,99.8,11.08888889
Tyler Lockett (SEA),"""WR""",9,98.4,10.93333333
DeVonta Smith (PHI),"""WR""",9,98.3,10.92222222
Terry McLaurin (WAS),"""WR""",10,97.6,9.76
DeAndre Hopkins (TEN),"""WR""",9,96.6,10.73333333
Gabe Davis (BUF),"""WR""",10,95.3,9.53
Marquise Brown (ARI),"""WR""",10,95.2,9.52
Rashid Shaheed (NO),"""WR""",10,93.3,9.33
George Pickens (PIT),"""WR""",9,92.7,10.3
Jaylen Waddle (MIA),"""WR""",8,91.2,11.4
Justin Jefferson (MIN),"""WR""",5,91.1,18.22
Romeo Doubs (GB),"""WR""",9,86.8,9.644444444
Zay Flowers (BAL),"""WR""",10,86.7,8.67
Josh Downs (IND),"""WR""",10,85.8,8.58
DK Metcalf (SEA),"""WR""",8,84.7,10.5875
Chris Godwin (TB),"""WR""",9,83.6,9.288888889
Jayden Reed (GB),"""WR""",9,83.6,9.288888889
Kendrick Bourne (NE),"""WR""",8,81.5,10.1875
Drake London (ATL),"""WR""",9,80.3,8.922222222
Calvin Ridley (JAC),"""WR""",9,77.6,8.622222222
Rashee Rice (KC),"""WR""",9,77.5,8.611111111
Tutu Atwell (LAR),"""WR""",9,76.9,8.544444444
Tyler Boyd (CIN),"""WR""",9,76.3,8.477777778
Deebo Samuel (SF),"""WR""",7,75.6,10.8
Curtis Samuel (WAS),"""WR""",9,72.3,8.033333333
Jahan Dotson (WAS),"""WR""",10,71,7.1
Michael Thomas (NO),"""WR""",10,70.3,7.03
Michael Wilson (ARI),"""WR""",9,69.5,7.722222222
Josh Reynolds (DET),"""WR""",9,69.2,7.688888889
Brandin Cooks (DAL),"""WR""",8,67.1,8.3875
K.J. Osborn (MIN),"""WR""",9,65.7,7.3
Jaxon Smith-Njigba (SEA),"""WR""",9,61,6.777777778
Noah Brown (HOU),"""WR""",5,60.3,12.06
Tee Higgins (CIN),"""WR""",7,58.3,8.328571429
Jerry Jeudy (DEN),"""WR""",8,58.1,7.2625
Cooper Kupp (LAR),"""WR""",5,55.9,11.18
Diontae Johnson (PIT),"""WR""",5,49.9,9.98
T.J. Hockenson (MIN),"""TE""",10,125.6,12.56
Travis Kelce (KC),"""TE""",8,112.2,14.025
Mark Andrews (BAL),"""TE""",9,109.6,12.17777778
George Kittle (SF),"""TE""",9,97.6,10.84444444
Cole Kmet (CHI),"""TE""",10,95.1,9.51
Sam LaPorta (DET),"""TE""",9,94.9,10.54444444
Taysom Hill (NO),"""TE""",10,83.9,8.39
Dalton Schultz (HOU),"""TE""",9,82.6,9.177777778
Jake Ferguson (DAL),"""TE""",9,77.4,8.6
Dallas Goedert (PHI),"""TE""",9,72,8
Dalton Kincaid (BUF),"""TE""",9,71.5,7.944444444
Logan Thomas (WAS),"""TE""",9,70.3,7.811111111
Evan Engram (JAC),"""TE""",9,70.1,7.788888889
Jonnu Smith (ATL),"""TE""",10,69.8,6.98
David Njoku (CLE),"""TE""",9,66.7,7.411111111
Trey McBride (ARI),"""TE""",10,65.8,6.58
Kyle Pitts (ATL),"""TE""",10,65,6.5
Hunter Henry (NE),"""TE""",10,62.8,6.28
Darren Waller (NYG),"""TE""",8,62.4,7.8
Cade Otton (TB),"""TE""",9,58.4,6.488888889
Tyler Conklin (NYJ),"""TE""",9,52.8,5.866666667
Luke Musgrave (GB),"""TE""",9,51.8,5.755555556
Dustin Hopkins (CLE),"""K""",9,109,12.11111111
Matt Gay (IND),"""K""",10,93,9.3
Jake Elliott (PHI),"""K""",9,93,10.33333333
Brandon Aubrey (DAL),"""K""",9,92,10.22222222
Younghoe Koo (ATL),"""K""",10,89,8.9
Blake Grupe (NO),"""K""",10,89,8.9
Jason Myers (SEA),"""K""",9,87,9.666666667
Brandon McManus (JAC),"""K""",9,87,9.666666667
Justin Tucker (BAL),"""K""",10,87,8.7
Nick Folk (TEN),"""K""",9,86,9.555555556
Greg Zuerlein (NYJ),"""K""",8,84,10.5
Harrison Butker (KC),"""K""",9,84,9.333333333
Cameron Dicker (LAC),"""K""",9,80,8.888888889
Matt Prater (ARI),"""K""",10,79,7.9
Chris Boswell (PIT),"""K""",9,78,8.666666667
Jake Moody (SF),"""K""",9,78,8.666666667
Evan McPherson (CIN),"""K""",9,77,8.555555556
Greg Joseph (MIN),"""K""",10,77,7.7
Brett Maher (FA),"""K""",7,76,10.85714286
Chase McLaughlin (TB),"""K""",9,75,8.333333333
Daniel Carlson (LV),"""K""",10,74,7.4
Cairo Santos (CHI),"""K""",10,74,7.4
Joey Slye (WAS),"""K""",10,73,7.3
Wil Lutz (DEN),"""K""",9,73,8.111111111
Eddy Pineiro (CAR),"""K""",9,72,8
Ka'imi Fairbairn (HOU),"""K""",8,72,9
Riley Patterson (DET),"""K""",9,71,7.888888889
Tyler Bass (BUF),"""K""",10,71,7.1
Jason Sanders (MIA),"""K""",9,61,6.777777778
Anders Carlson (GB),"""K""",9,59,6.555555556
Chad Ryland (NE),"""K""",10,56,5.6
Graham Gano (NYG),"""K""",8,50,6.25
Dallas Cowboys (DAL),"""DST""",9,108,12
Baltimore Ravens (BAL),"""DST""",10,104,10.4
Cleveland Browns (CLE),"""DST""",9,97,10.77777778
Pittsburgh Steelers (PIT),"""DST""",9,88,9.777777778
Buffalo Bills (BUF),"""DST""",10,87,8.7
Indianapolis Colts (IND),"""DST""",10,83,8.3
Kansas City Chiefs (KC),"""DST""",9,82,9.111111111
New Orleans Saints (NO),"""DST""",10,81,8.1
Minnesota Vikings (MIN),"""DST""",10,79,7.9
Cincinnati Bengals (CIN),"""DST""",9,78,8.666666667
New York Jets (NYJ),"""DST""",9,78,8.666666667
Seattle Seahawks (SEA),"""DST""",9,77,8.555555556
San Francisco 49ers (SF),"""DST""",9,77,8.555555556
Jacksonville Jaguars (JAC),"""DST""",9,73,8.111111111
Tampa Bay Buccaneers (TB),"""DST""",9,72,8
Los Angeles Chargers (LAC),"""DST""",9,71,7.888888889
Las Vegas Raiders (LV),"""DST""",10,71,7.1
Philadelphia Eagles (PHI),"""DST""",9,67,7.444444444
Houston Texans (HOU),"""DST""",9,61,6.777777778
Detroit Lions (DET),"""DST""",9,60,6.666666667
Denver Broncos (DEN),"""DST""",9,59,6.555555556
Green Bay Packers (GB),"""DST""",9,57,6.333333333
Miami Dolphins (MIA),"""DST""",9,56,6.222222222
Washington Commanders (WAS),"""DST""",10,53,5.3
Atlanta Falcons (ATL),"""DST""",10,52,5.2
New England Patriots (NE),"""DST""",10,50,5
Tennessee Titans (TEN),"""DST""",9,50,5.555555556
Arizona Cardinals (ARI),"""DST""",10,50,5
Chicago Bears (CHI),"""DST""",10,48,4.8
Carolina Panthers (CAR),"""DST""",9,45,5
New York Giants (NYG),"""DST""",10,44,4.4
Los Angeles Rams (LAR),"""DST""",9,40,4.444444444
